Index,ProductID,ProductTitle,Category
1,B01637RFR4,TurboTax Deluxe 2015 Federal + State Taxes + Fed Efile Tax Preparation Software - PC Download,Accounting & Finance
2,B01637RISK,TurboTax Premier 2015 Federal + State Taxes + Fed Efile Tax Preparation Software - PC Download,Accounting & Finance
3,B01637RHBI,TurboTax Home & Business 2015 Federal + State Taxes + Fed Efile Tax Preparation Software - PC Download,Accounting & Finance
4,B01326JFB8,QuickBooks Pro 2016 Small Business Accounting Software with Free QuickBooks Online Essentials,Accounting & Finance
5,B01637RMYU,H&R Block 2015 Deluxe + State Tax Software +  Refund Bonus Offer - Windows Download,Accounting & Finance
6,B01637RDP8,TurboTax Business 2015 Federal + Fed Efile Tax Preparation Software - PC Download,Accounting & Finance
7,B013EXD61E,Quicken Deluxe 2016 Personal Finance & Budgeting Software,Accounting & Finance
8,B01637ROB6,H&R Block 2015 Premium + State Tax Software +  Refund Bonus Offer - Windows Download,Accounting & Finance
9,B01637REAM,TurboTax Deluxe 2015 Federal + Fed Efile Tax Preparation Software - PC Download,Accounting & Finance
10,B01326JDR4,QuickBooks Premier 2016 Small Business Accounting Software with Industry Editions,Accounting & Finance
11,B013EXDE02,Quicken Home & Business 2016 Personal Finance & Budgeting Software,Accounting & Finance
12,B013EXD9KW,Quicken For Mac 2016 Personal Finance & Budgeting Software,Accounting & Finance
13,B01326JDTM,QuickBooks Pro 2016 Small Business Accounting Software with Enhanced Payroll,Accounting & Finance
14,B013EXDK10,Quicken Premier 2016 Personal Finance & Budgeting Software,Accounting & Finance
15,B01637RLIW,H&R Block 2015 Deluxe Tax Software + Refund Bonus Offer - Windows Download,Accounting & Finance
16,B013EXF9T6,QuickBooks Mac 2016 Small Business Accounting Software [Download],Accounting & Finance
17,B01637RPPQ,H&R Block 2015 Premium + Business Tax Software + Refund Bonus Offer - Windows Download,Accounting & Finance
18,B013EXF05E,Intuit QuickBooks Pro 2016 3-User [Download],Accounting & Finance
19,B01637R9IE,TurboTax Basic 2015 Federal + Fed Efile Tax Preparation Software - PC Download,Accounting & Finance
20,B01637RK6U,H&R Block 2015 Basic Tax Software +  Refund Bonus Offer - Windows Download,Accounting & Finance
21,B013EXDTZM,Quicken Starter Edition 2016 Personal Finance & Budgeting Software,Accounting & Finance
22,B00NG7JYYM,TurboTax Home & Business 2014 Fed + State + Fed Efile Tax Software + Refund Bonus Offer - Win [Download],Accounting & Finance
23,B013EXEJ9M,QuickBooks Online Simple Start 2016 Small Business Accounting (PC/Mac),Accounting & Finance
24,B00NG7JVSQ,TurboTax Deluxe 2014 Fed + State + Fed Efile Tax Software + Refund Bonus Offer - Win [Download],Accounting & Finance
25,B014THSHHC,Quickbooks Premier 2016 4-user,Accounting & Finance
26,B015JNIHCA,QuickBooks Premier 2016 2-User,Accounting & Finance
27,B019GUBR4M,H&R Block 2015 Deluxe + State Tax Software,Accounting & Finance
28,B013EXDPJ2,Quicken Rental Property Manager 2016 Personal Finance & Budgeting Software,Accounting & Finance
29,B00NG7JQHW,TurboTax Business 2014 Fed + Fed Efile Tax Software [Old Version],Accounting & Finance
30,B01A5XMM8Y,H&R Block Tax Software Premium & Business 2015 Federal+State,Accounting & Finance
31,B019QWTLAC,H&R Block Tax Software Premium 2015 Federal & State,Accounting & Finance
32,B013EXEQQI,Intuit QuickBooks Premier 2016 3-User,Accounting & Finance
33,B014TELPGU,Quickbooks Premier 2016 3-user,Accounting & Finance
34,B014TI3DC0,Quickbooks Premier 2016 5-user,Accounting & Finance
